teamNumber,nameShort,location,latitude,longitude
456,Siege Robotics,"Vicksburg, Mississippi",32.3528055,-90.8777342
457,Grease Monkeys,"nan, San Antonio, Texas",-23.11081025,-46.9602982923831
461,Westside Boiler Invasion,"West Lafayette, Indiana",40.4258686,-86.9080655
467,Shrewsbury Colonials,"Shrewsbury, Massachusetts",42.283828,-71.7172866
468,Aftershock,"Flint, Michigan",43.0161693,-83.6900211
469,Las Guerrillas,"nan, Bloomfield Hills, Michigan",42.56818905,-83.25269190979894
470,Alpha Omega Robotics,"Ypsilanti, Michigan",42.2410562,-83.613055
484,Roboforce,"Havertown, Pennsylvania",39.9809452,-75.3085201
486,Positronic Panthers,"Wallingford, Pennsylvania",39.8909454,-75.3629687
488,Team XBot,"nan, Seattle, Washington",47.6546655,-122.30979428415324
492,Titan Robotics Club,"Bellevue, Washington",47.6144219,-122.192337
494,Martians,"Goodrich, Michigan",42.91708,-83.501656
496,Royals,"Port Jefferson, New York",40.9465118,-73.0691257
498,Cobra Commanders,"Glendale, Arizona",33.5386858,-112.185994
499,Toltechs,"nan, San Antonio, Texas",-23.11081025,-46.9602982923831
501,The PowerKnights,"Manchester, New Hampshire",42.9956397,-71.4547891
503,Frog Force,"nan, Novi, Michigan",-33.4257305,149.6250355
509,Red Storm,"Bedford, New Hampshire",42.9464737,-71.5159015
514,Miller Place Robotics,"Miller Place, New York",40.9598212,-72.9962148
525,Swartdogs,"Cedar Falls, Iowa",42.5361805,-92.447758
527,Red Dragons,"No. Massapequa, New York",40.6761472,-73.4696557
533,The PSIcotics,"Lindenhurst, New York",40.6867667,-73.3734547
537,Charger Robotics,"Sussex, Wisconsin",43.1339001,-88.2220372
538,Dragon Slayers,"Arab, Alabama",34.3181497,-86.4958219
539,Titans,"Richmond, Virginia",37.5385087,-77.43428
540,TALON 540 Godwin Robotics,"Henrico, Virginia",37.5131191,-77.3465081
545,ROBO-DAWGS,"Levittown, New York",40.7259621,-73.5144766
547,F.E.A.R.,"Fayetteville, Tennessee",35.1520267,-86.5705509
548,Robostangs,"Northville, Michigan",42.4310806,-83.4832262
554,The Bluegrease Crew,"Ft. Thomas, Kentucky",39.0786242,-84.4483432
555,Montclair Robotics,"Montclair, New Jersey",40.8164458,-74.2210643
558,Robo Squad,"New Haven, Connecticut",41.3082138,-72.9250518
564,Longwood Robotics,"Middle Island, New York",40.8842653,-72.9373262
568,Nerds of the North,"Anchorage, Alaska",61.2163129,-149.894852
569,Rambots,"Westbury, New York",40.7556561,-73.5876273
571,Team Paragon,"Windsor, Connecticut",41.8525984,-72.6437022
573,Mech Warriors,"nan, Bloomfield Hills, Michigan",42.56818905,-83.25269190979894
578,Red Raider Robotics,"Fairport, New York",43.0993,-77.443014
581,Blazing Bulldogs,"nan, San Jose, California",37.3565689,-121.9011479
585,Cyber Penguins,"Tehachapi, California",35.1321878,-118.4489739
587,Hedgehogs,"Hillsborough, North Carolina",36.0752088,-79.0992085
589,Falkon Robotics,"La Crescenta, California",34.230429,-118.2350733
590,Chahta Warriors,"Choctaw, Mississippi",33.3569348,-89.2390212
597,Wolverines,"nan, Los Angeles, California",34.0049604,-117.7877947
599,Robodox,"Granada Hills, California",34.2661558,-118.5174342
601,BayBots,"Hampton Bays, New York",40.8689892,-72.5175893
604,Quixilver,"nan, San Jose, California",37.3565689,-121.9011479
606,Cyber Eagles,"nan, Los Angeles, California",34.0049604,-117.7877947
611,Saxons,"McLean, Virginia",38.9318369,-77.1671337963356
612,Chantilly Robotics,"Chantilly, Virginia",38.8788355,-77.40221718011088
613,NeoWarriors,"Somerset, New Jersey",40.5675084,-74.6189556
614,Night Hawks,"Alexandria, Virginia",38.8051095,-77.0470229
615,Knights,"nan, Washington, District of Columbia",38.89584795,-77.03654431512868
617,Enginerds,"Highland Springs, Virginia",37.5527518,-77.32503610889233
619,Cavalier Robotics,"Charlottesville, Virginia",38.029306,-78.4766781
620,Warbots,"Vienna, Virginia",38.9013729,-77.2651762
623,Cougar Robotics,"Vienna, Virginia",38.9013729,-77.2651762
624,CRyptonite,"Katy, Texas",29.7857853,-95.8243956
639,Code Red Robotics,"Ithaca, New York",42.4396039,-76.4968019
640,Robo Elite,"Jamaica, New York",40.7029134,-73.8006429
647,Cyberwolves ,"nan, Killeen, Texas",31.1132441,-97.7482403
648,QC ELITE,"Quad Cities, Iowa",41.5580702,-90.5496248101071
649,M-SET Fish,"Saratoga, California",37.2638324,-122.0230146
653,NOSIDE,"nan, San Antonio, Texas",-23.11081025,-46.9602982923831
662,Rocky Mountain Robotics,"Colorado Springs, Colorado",38.8339578,-104.825348
663,Robonauts,"Whitinsville, Massachusetts",42.1104808,-71.6646123
668,The Apes of Wrath,"nan, San Jose, California",37.3565689,-121.9011479
670,Homestead Robotics,"Cupertino, California",37.3228934,-122.0322895
677,Murphy's Outlaws,"Columbus, Ohio",39.9622601,-83.0007065
686,Bovine Intervention,"Frederick, Maryland",39.415779,-77.4127562
687,The Nerd Herd,"Carson, California",33.8322043,-118.2517547
691,Project 691,"Santa Clarita, California",34.3916641,-118.542586
692,The Fembots,"nan, Sacramento, California",-19.9273793,-47.1478314
694,StuyPulse,"nan, New York, New York",40.7550963,-73.4763586
695,FIRST Responders,"Beachwood, Ohio",41.464498,-81.508732
696,Circuit Breakers,"La Crescenta, California",34.230429,-118.2350733
698,Hamilton Microbots,"Chandler, Arizona",33.3062031,-111.8411851
701,RoboVikes,"Fairfield, California",38.2493581,-122.039966
702,Bagel Bytes,"Culver City, California",34.0211224,-118.396466
703,Team Phoenix,"Saginaw, Michigan",43.4200387,-83.9490365
704,Warriors,"Grand Prairie, Texas",32.7459645,-96.9977846
706,CYBERHAWKS,"Hartland, Wisconsin",43.105008,-88.3420398
708,Hatters Robotics,"Horsham, Pennsylvania",40.1842455,-75.13905239078957
709,Femme Tech Fatale,"Bryn Mawr, Pennsylvania",40.0238245,-75.31734069085473
714,panthera,"Newark, New Jersey",40.735657,-74.1723667
716,Who'sCTEKS,"Falls Village, Connecticut",41.9550216,-73.3625769
743,Technobots,"Bronx, New York",40.8466508,-73.8785937
